NOMBRE,PROVINCIA,LAT,,LONG. ,,ALT. (m),NRO
AZUL AERO,BUENOS AIRES,-36,50,-59,53,147,87641
BAHIA BLANCA AERO,BUENOS AIRES,-38,44,-62,10,83,87750
BENITO JUAREZ AERO,BUENOS AIRES,-37,43,-59,47,207,87649
BOLIVAR AERO,BUENOS AIRES,-36,12,-61,4,94,87640
CAMPO DE MAYO AERO,BUENOS AIRES,-34,32,-58,40,26,87570
CORONEL PRINGLES AERO,BUENOS AIRES,-38,1,-61,20,247,87683
CORONEL SUAREZ AERO,BUENOS AIRES,-37,26,-61,53,233,87637
DOLORES AERO,BUENOS AIRES,-36,21,-57,44,9,87648
EL PALOMAR AERO,BUENOS AIRES,-34,36,-58,36,12,87571
EZEIZA AERO,BUENOS AIRES,-34,49,-58,32,20,87576
JUNIN AERO,BUENOS AIRES,-34,33,-60,55,81,87548
LA PLATA AERO,BUENOS AIRES,-34,58,-57,54,23,87593
LAS FLORES AERO,BUENOS AIRES,-36,2,-59,8,36,87563
MAR DEL PLATA AERO,BUENOS AIRES,-37,56,-57,35,21,87692
MARIANO MORENO AERO,BUENOS AIRES,-34,33,-58,49,32,87572
MERLO AERO,BUENOS AIRES,-34,41,-58,44,36,87573
MORON AERO,BUENOS AIRES,-34,40,-58,38,24,87574
NUEVE DE JULIO,BUENOS AIRES,-35,27,-60,53,76,87550
OLAVARRIA AERO,BUENOS AIRES,-36,53,-60,13,166,87643
PEHUAJO AERO,BUENOS AIRES,-35,52,-61,54,87,87544
PIGUE AERO,BUENOS AIRES,-37,36,-62,23,304,87679
PUNTA INDIO B.A.,BUENOS AIRES,-35,22,-57,17,22,87596
SAN FERNANDO,BUENOS AIRES,-34,27,-58,35,3,87553
SANTA TERESITA AERO,BUENOS AIRES,-36,33,-56,41,4,87658
TANDIL AERO,BUENOS AIRES,-37,14,-59,15,175,87645
TRENQUE LAUQUEN,BUENOS AIRES,-35,58,-62,44,95,87540
TRES ARROYOS,BUENOS AIRES,-38,20,-60,15,115,87688
VILLA GESELL AERO,BUENOS AIRES,-37,14,-57,1,9,87663
AEROPARQUE AERO,CAPITAL FEDERAL,-34,34,-58,25,6,87582
BUENOS AIRES,CAPITAL FEDERAL,-34,35,-58,29,25,87585
CATAMARCA AERO,CATAMARCA,-28,36,-65,46,454,87222
TINOGASTA,CATAMARCA,-28,4,-67,34,1201,87211
PCIA. ROQUE SAENZ PEï¾‘A AERO,CHACO,-26,45,-60,24,93,87148
RESISTENCIA AERO,CHACO,-27,27,-59,3,52,87155
COMODORO RIVADAVIA AERO,CHUBUT,-45,47,-67,30,46,87860
ESQUEL AERO,CHUBUT,-42,56,-71,9,797,87803
PASO DE INDIOS,CHUBUT,-43,49,-68,53,460,87814
PUERTO MADRYN AERO,CHUBUT,-42,44,-65,4,136,87823
TRELEW AERO,CHUBUT,-43,12,-65,16,43,87828
CORDOBA AERO,CORDOBA,-31,18,-64,12,495,87344
CORDOBA OBSERVATORIO,CORDOBA,-31,24,-64,11,425,87345
ESC.AVIACION MILITAR AERO,CORDOBA,-31,27,-64,16,502,87347
LABOULAYE AERO,CORDOBA,-34,8,-63,22,137,87534
MARCOS JUAREZ AERO,CORDOBA,-32,42,-62,9,114,87467
PILAR OBS.,CORDOBA,-31,40,-63,53,338,87349
RIO CUARTO AERO,CORDOBA,-33,7,-64,14,421,87453
VILLA DOLORES AERO,CORDOBA,-31,57,-65,8,566,87328
VILLA MARIA DEL RIO SECO,CORDOBA,-29,54,-63,41,341,87244
CORRIENTES AERO,CORRIENTES,-27,27,-58,46,62,87166
ITUZAINGO,CORRIENTES,-27,35,-56,40,72,87173
MERCEDES AERO (CTES),CORRIENTES,-29,13,-58,6,107,87281
MONTE CASEROS AERO,CORRIENTES,-30,16,-57,39,54,87393
PASO DE LOS LIBRES AERO,CORRIENTES,-29,41,-57,9,70,87289
CONCORDIA AERO,ENTRE RIOS,-31,18,-58,1,38,87395
GUALEGUAYCHU AERO,ENTRE RIOS,-33,0,-58,37,23,87497
PARANA AERO,ENTRE RIOS,-31,47,-60,29,78,87374
FORMOSA AERO,FORMOSA,-26,12,-58,14,60,87162
LAS LOMITAS,FORMOSA,-24,42,-60,35,130,87078
JUJUY AERO,JUJUY,-24,23,-65,5,905,87046
JUJUY U N,JUJUY,-24,10,-65,11,1302,87043
LA QUIACA OBS.,JUJUY,-22,6,-65,36,3459,87007
GENERAL PICO AERO,LA PAMPA,-35,42,-63,45,145,87532
SANTA ROSA AERO,LA PAMPA,-36,34,-64,16,191,87623
VICTORICA,LA PAMPA,-36,13,-65,26,312,87616
CHAMICAL AERO,LA RIOJA,-30,22,-66,17,461,87320
CHEPES,LA RIOJA,-31,20,-66,36,658,87322
CHILECITO AERO,LA RIOJA,-29,14,-67,26,947,87213
LA RIOJA AERO,LA RIOJA,-29,23,-66,49,429,87217
MALARGUE AERO,MENDOZA,-35,30,-69,35,1425,87506
MENDOZA AERO,MENDOZA,-32,50,-68,47,704,87418
MENDOZA OBSERVATORIO,MENDOZA,-32,53,-68,51,827,87420
SAN CARLOS (MZA),MENDOZA,-33,46,-69,2,940,87412
SAN MARTIN (MZA),MENDOZA,-33,5,-68,25,653,87416
SAN RAFAEL AERO,MENDOZA,-34,35,-68,24,748,87509
USPALLATA,MENDOZA,-32,36,-69,20,1891,87405
BERNARDO DE IRIGOYEN AERO,MISIONES,-26,15,-53,39,815,87163
IGUAZU AERO,MISIONES,-25,44,-54,28,270,87097
OBERA AERO,MISIONES,-27,29,-55,8,303,87187
POSADAS AERO,MISIONES,-27,22,-55,58,125,87178
CHAPELCO AERO,NEUQUEN,-40,5,-71,8,779,87761
NEUQUEN AERO,NEUQUEN,-38,57,-68,8,271,87715
BARILOCHE AERO,RIO NEGRO,-41,9,-71,10,840,87765
CIPOLLETTI,RIO NEGRO,-38,57,-67,58,265,87719
EL BOLSON AERO,RIO NEGRO,-41,58,-71,31,337,87800
MAQUINCHAO,RIO NEGRO,-41,15,-68,44,888,87774
RIO COLORADO,RIO NEGRO,-39,1,-64,5,79,87736
SAN ANTONIO OESTE AERO,RIO NEGRO,-40,47,-65,6,20,87784
VIEDMA AERO,RIO NEGRO,-40,51,-63,1,7,87791
METAN,SALTA,-25,29,-64,48,855,87050
ORAN AERO,SALTA,-23,9,-64,19,357,87016
RIVADAVIA,SALTA,-24,10,-62,54,205,87065
SALTA AERO,SALTA,-24,51,-65,29,1221,87047
TARTAGAL AERO,SALTA,-22,39,-63,49,450,87022
JACHAL,SAN JUAN,-30,14,-68,45,1175,87305
SAN JUAN AERO,SAN JUAN,-31,34,-68,25,598,87311
SAN LUIS AERO,SAN LUIS,-33,16,-66,21,713,87436
SANTA ROSA DE CONLARA AERO,SAN LUIS,-32,23,-65,11,620,87444
VILLA REYNOLDS AERO,SAN LUIS,-33,44,-65,23,486,87448
EL CALAFATE AERO,SANTA CRUZ,-50,16,-72,3,204,87904
GOBERNADOR GREGORES AERO,SANTA CRUZ,-48,47,-70,10,358,87880
PERITO MORENO AERO,SANTA CRUZ,-46,31,-71,1,429,87852
PUERTO DESEADO AERO,SANTA CRUZ,-47,44,-65,55,80,87896
RIO GALLEGOS AERO,SANTA CRUZ,-51,37,-69,17,19,87925
SAN JULIAN AERO,SANTA CRUZ,-49,19,-67,47,62,87909
SANTA CRUZ AERO,SANTA CRUZ,-50,1,-68,34,111,87912
CERES AERO,SANTA FE,-29,53,-61,57,88,87257
EL TREBOL,SANTA FE,-32,12,-61,40,96,87470
RAFAELA AERO,SANTA FE,-31,16,-61,30,99,87360
RECONQUISTA AERO,SANTA FE,-29,11,-59,42,53,87270
ROSARIO AERO,SANTA FE,-32,55,-60,47,25,87480
SAUCE VIEJO AERO,SANTA FE,-31,42,-60,49,18,87371
SUNCHALES AERO,SANTA FE,-30,58,-61,20,92,87356
VENADO TUERTO,SANTA FE,-33,40,-61,58,112,87468
SANTIAGO DEL ESTERO AERO,SANTIAGO DEL ESTERO,-27,46,-64,18,199,87129
TERMAS DE RIO HONDO AERO,SANTIAGO DEL ESTERO,-27,29,-64,56,280,87127
RIO GRANDE B.A.,TIERRA DEL FUEGO,-53,48,-67,45,22,87934
USHUAIA AERO,TIERRA DEL FUEGO,-54,48,-68,19,57,87938
TUCUMAN AERO,TUCUMAN,-26,51,-65,6,450,87121
